distribution,x_axis_value,mu,case,entity_id
Uniform,26,0.9640000000000001,Average,1131
Uniform,27,0.9550000000000001,Worst,1131
Uniform,27,0.9635000000000001,Average,1131
Uniform,28,0.9674999999999999,Worst,1131
Uniform,28,0.962,Average,1131
Uniform,29,0.9644999999999999,Worst,1131
Uniform,29,0.9634999999999998,Average,1131
Uniform,30,0.9644999999999999,Worst,1131
Uniform,30,0.9644999999999998,Average,1131
Uniform,1,0.23900000000000002,Worst,32985348833548
Uniform,1,0.2555,Average,32985348833548
Uniform,2,0.5605,Worst,32985348833548
Uniform,2,0.5625000000000001,Average,32985348833548
Uniform,3,0.6865,Worst,32985348833548
Uniform,3,0.6815,Average,32985348833548
Uniform,4,0.7635,Worst,32985348833548
Uniform,4,0.7705000000000001,Average,32985348833548
Uniform,5,0.8009999999999999,Worst,32985348833548
Uniform,5,0.817,Average,32985348833548
Uniform,6,0.8494999999999999,Worst,32985348833548
Uniform,6,0.8450000000000001,Average,32985348833548
Uniform,7,0.8595,Worst,32985348833548
Uniform,7,0.86,Average,32985348833548
Uniform,8,0.869,Worst,32985348833548
Uniform,8,0.897,Average,32985348833548
Uniform,9,0.89,Worst,32985348833548
Uniform,9,0.8965000000000002,Average,32985348833548
Uniform,10,0.9040000000000001,Worst,32985348833548
Uniform,10,0.9030000000000001,Average,32985348833548
Uniform,11,0.8975,Worst,32985348833548
Uniform,11,0.9105000000000001,Average,32985348833548
Uniform,12,0.9209999999999999,Worst,32985348833548
Uniform,12,0.9255000000000001,Average,32985348833548
Uniform,13,0.9259999999999999,Worst,32985348833548
Uniform,13,0.9109999999999999,Average,32985348833548
Uniform,14,0.9274999999999999,Worst,32985348833548
Uniform,14,0.9260000000000002,Average,32985348833548
Uniform,15,0.9390000000000001,Worst,32985348833548
Uniform,15,0.9255000000000001,Average,32985348833548
Uniform,16,0.9419999999999998,Worst,32985348833548
Uniform,16,0.944,Average,32985348833548
Uniform,17,0.9434999999999999,Worst,32985348833548
